2810823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,0,6
2810783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,1,6
2811552,0,0,0,0,0,0,0,0,0,0,0,8,28,30,38,35,43,16,62,95,109,91,95,84,89,64,44,72,1003
2810753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3
2811714,0,1,0,0,0,0,0,0,0,0,0,8,24,25,18,26,17,23,34,57,54,51,34,50,31,60,22,57,592
2796497,13073,9142,11213,8961,121,0,0,0,0,0,0,0,17,10,5,4,4,5,16,27,19,15,16,20,19,19,9,20,42735
2796380,12065,8339,10313,8008,113,1,0,1,0,0,0,4,2,4,5,7,15,11,12,24,14,17,17,19,11,4,7,7,39020
2796423,11728,8169,10132,7885,111,0,0,0,0,0,0,1,6,3,6,18,12,12,9,13,12,12,17,21,19,7,12,11,38216
2796518,12575,8732,10468,8149,116,0,0,0,0,0,0,3,11,25,20,16,9,13,31,37,47,57,38,28,42,36,28,45,40526
2796527,11408,7959,10049,7558,104,2,0,0,1,0,0,3,18,23,24,21,16,14,39,47,45,56,38,32,35,32,39,45,37608
2809870,0,0,0,0,0,0,0,3,2,3,2,7,50,15,17,36,11,23,67,68,74,130,57,66,50,33,58,36,808
2810988,0,0,0,0,0,0,0,0,0,0,0,4,12,15,15,17,9,18,15,15,25,22,11,7,14,8,6,9,222
2811080,0,0,0,0,0,0,0,0,0,0,0,2,2,8,3,1,1,4,5,7,8,1,3,7,5,6,10,8,81
2808530,0,0,0,0,0,0,0,0,0,0,0,2,2,5,2,1,5,6,20,23,23,18,27,15,12,11,13,12,197
2811187,0,0,0,0,0,0,0,0,0,0,0,3,30,42,31,33,50,15,36,52,52,50,57,56,43,53,31,55,689
2811415,0,0,0,0,0,0,0,0,1,0,0,13,48,52,36,57,74,60,118,116,94,98,120,123,94,69,50,68,1291
2811251,0,0,0,0,0,0,0,0,0,0,0,3,29,37,28,27,55,31,33,45,43,42,56,49,50,50,35,43,656
2812624,0,1,0,0,0,0,0,0,0,0,0,12,58,56,52,54,40,54,94,93,63,77,77,68,95,69,48,76,1087
2811871,0,0,0,0,0,0,0,0,0,0,0,1,11,47,24,31,35,30,281,265,187,208,225,253,244,246,245,193,2526
